ContasPublica_Id;ContasPublica_RD;ContasPublica_Nome;ContasPublica_Descricao;ContasPublica_ElFunc;ContasPublica_AnoRef
10000000;r;RecCor;Receitas Correntes;E;NA
11000000;r;RecTributaria;Receitas Tributárias;E;NA
13000000;r;RecPatri;Rec Patrimonial;E;NA
17000000;r;RecTransCor;Receitas Transferencias Correntes;E;NA
20000000;r;RecCap;Rec de Capital;E;NA
30000000;d;DesCor;Despesas correntes;E;NA
31000000;d;DespPessoal;Pessoal e Encarg Soc_PES;E;NA
32000000;d;DespJED;Juros e Encargos Dívida_JED;E;NA
40000000;d;DespCap;Despesas de Capital;E;NA
44000000;d;Investimentos;Investimentos Públicos;E;NA
46000000;d;DespAmortizacao;Amortização da Dívida;E;NA
900000000;r;DeducCor;Deduções Rec Corrente;E;NA
71200000000;r;RecOrcamentaria;Receita Orcamentaria;E;NA
73400000000;d;DespOrcamentaria;Despesa Orcamentaria;E;NA
