year;Group_OP;YearCount;Freq_OP;Per_OP;order
2000;PT;26;25;0,961538461538461;2
2000;Other_Left;70;11;0,157142857142857;3
2000;Center;182;17;0,0934065934065934;4
2000;Right;197;8;0,0406091370558376;5
2004;PT;55;48;0,872727272727273;2
2004;Other_Left;57;23;0,403508771929825;3
2004;Center;163;29;0,177914110429448;4
2004;Right;203;29;0,142857142857143;5
2008;PT;66;44;0,666666666666667;2
2008;Other_Left;56;18;0,321428571428571;3
2008;Center;183;26;0,14207650273224;4
2008;Right;166;28;0,168674698795181;5
2012;PT;88;48;0,545454545454545;2
2012;Other_Left;66;12;0,181818181818182;3
2012;Center;192;22;0,114583333333333;4
2012;Right;131;9;0,0687022900763359;5
2016;PT;82;21;0,25609756097561;2
2016;Other_Left;86;13;0,151162790697674;3
2016;Center;162;13;0,0802469135802469;4
2016;Right;147;4;0,0272108843537415;5
