low;high;mean;InvestPer;Freq;Group
0,157091189595012;0,219118155541798;0,187767477566951;0;0;PB adoption
0,159575463941787;0,209797395339954;0,184338926898477;0,025;63;PB adoption
0,161571696002083;0,201273264082339;0,180910376230003;0,05;302;PB adoption
0,160850713987631;0,193655641136639;0,177481825561529;0,075;475;PB adoption
0,158404689660911;0,188544800997082;0,174053274893055;0,1;487;PB adoption
0,152534526476831;0,186288612435015;0,170624724224581;0,125;337;PB adoption
0,146867308592865;0,18710775335983;0,167196173556108;0,15;231;PB adoption
0,138746569117485;0,188939805989607;0,163767622887634;0,175;128;PB adoption
0,129930284042449;0,189743677215758;0,16033907221916;0,2;68;PB adoption
0,120554590339611;0,193222211205661;0,156910521550686;0,225;38;PB adoption
0,111886721047481;0,196045116443631;0,153481970882212;0,25;29;PB adoption
0,0937463502864673;0,250659053723566;0,170276046536965;0;0;PB Continuity
0,12748267092827;0,257815249460679;0,193135409439754;0,025;0;PB Continuity
0,159553783231101;0,271910281697674;0,215994772342544;0,05;0;PB Continuity
0,189538991566927;0,28579419251968;0,238854135245333;0,075;0;PB Continuity
0,214581079553216;0,307184474813725;0,261713498148122;0,1;0;PB Continuity
0,231925852370343;0,335537538300173;0,284572861050911;0,125;0;PB Continuity
0,246708629479588;0,365871948763425;0,3074322239537;0,15;0;PB Continuity
0,258821741792807;0,399251586801387;0,330291586856489;0,175;0;PB Continuity
0,271954102347384;0,432145062915579;0,353150949759278;0,2;0;PB Continuity
0,28079090760894;0,467591316268886;0,376010312662067;0,225;0;PB Continuity
0,290170879835056;0,505364893657106;0,398869675564856;0,25;0;PB Continuity
